episode,length,end reason,reward sum
177,80,Fencer went out of bounds,-279
178,116,Fencer went out of bounds,-307
179,113,Fencer went out of bounds,-307
180,119,Fencer went out of bounds,-307
181,82,Fencer went out of bounds,-281
182,184,Fencer went out of bounds,-306
183,137,Fencer went out of bounds,-285
184,136,Fencer went out of bounds,-285
185,163,Fencer went out of bounds,-287
186,8,Fencer fell over,-107
187,100,Fencer went out of bounds,-299
188,173,Fencer went out of bounds,-306
189,154,Fencer went out of bounds,-285
190,142,Fencer went out of bounds,-285
191,136,Fencer went out of bounds,-284
192,146,Fencer went out of bounds,-285
193,205,Fencer went out of bounds,-343
194,157,Fencer went out of bounds,-285
195,117,Fencer went out of bounds,-316
196,154,Fencer went out of bounds,-306
197,151,Fencer went out of bounds,-286
198,143,Fencer went out of bounds,-285
199,154,Fencer went out of bounds,-286
200,168,Fencer went out of bounds,-304
201,144,Fencer went out of bounds,-285
202,180,Fencer went out of bounds,-286
203,140,Fencer went out of bounds,-285
204,144,Fencer went out of bounds,-285
205,141,Fencer went out of bounds,-284
206,144,Fencer went out of bounds,-285
207,88,Fencer went out of bounds,-286
208,151,Fencer went out of bounds,-287
209,8,Fencer fell over,-107
210,139,Fencer went out of bounds,-285
211,148,Fencer went out of bounds,-286
212,146,Fencer went out of bounds,-285
213,67,Opponent fell over,934
214,154,Fencer went out of bounds,-286
215,148,Fencer went out of bounds,-285
216,128,Fencer went out of bounds,-285
217,82,Fencer went out of bounds,-281
218,155,Fencer went out of bounds,-286
219,76,Fencer went out of bounds,-275
220,77,Fencer went out of bounds,-276
221,80,Fencer went out of bounds,-279
222,81,Fencer went out of bounds,-280
223,154,Fencer went out of bounds,-286
224,154,Fencer went out of bounds,-285
225,144,Fencer went out of bounds,-284
226,157,Fencer went out of bounds,-285
227,100,Fencer went out of bounds,-285
228,153,Fencer went out of bounds,-286
229,143,Fencer went out of bounds,-285
230,135,Fencer went out of bounds,-285
231,148,Fencer went out of bounds,-286
232,147,Fencer went out of bounds,-285
233,143,Fencer went out of bounds,-285
234,91,Fencer went out of bounds,-286
235,144,Fencer went out of bounds,-285
236,160,Fencer went out of bounds,-286
237,169,Fencer went out of bounds,-285
238,149,Fencer went out of bounds,-285
239,158,Fencer went out of bounds,-285
240,131,Fencer went out of bounds,-284
241,137,Fencer went out of bounds,-284
242,147,Fencer went out of bounds,-285
243,139,Fencer went out of bounds,-285
244,148,Fencer went out of bounds,-285
245,136,Fencer went out of bounds,-285
246,145,Fencer went out of bounds,-285
247,127,Fencer went out of bounds,-284
248,152,Fencer went out of bounds,-285
249,152,Fencer went out of bounds,-285
250,148,Fencer went out of bounds,-285
251,84,Fencer went out of bounds,-282
252,78,Fencer went out of bounds,-277
253,76,Fencer went out of bounds,-275
254,164,Fencer went out of bounds,-286
255,153,Fencer went out of bounds,-286
256,154,Fencer went out of bounds,-286
257,93,Fencer went out of bounds,-286
258,95,Fencer went out of bounds,-286
259,77,Fencer went out of bounds,-276
260,101,Fencer went out of bounds,-300
261,112,Fencer went out of bounds,-308
262,176,Fencer went out of bounds,-306
263,86,Fencer went out of bounds,-285
264,92,Fencer went out of bounds,-286
265,151,Fencer went out of bounds,-286
266,84,Fencer went out of bounds,-283
267,202,Fencer went out of bounds,-307
268,78,Fencer went out of bounds,-277
269,80,Fencer went out of bounds,-279
270,76,Fencer went out of bounds,-275
271,185,Fencer went out of bounds,-306
272,76,Fencer went out of bounds,-275
273,74,Fencer went out of bounds,-273
274,76,Fencer went out of bounds,-275
275,77,Fencer went out of bounds,-276
276,79,Fencer went out of bounds,-278
277,90,Fencer went out of bounds,-286
278,79,Fencer went out of bounds,-278
279,80,Fencer went out of bounds,-279
280,80,Fencer went out of bounds,-279
281,78,Fencer went out of bounds,-277
282,79,Fencer went out of bounds,-278
283,79,Fencer went out of bounds,-278
284,79,Fencer went out of bounds,-278
285,80,Fencer went out of bounds,-279
286,81,Fencer went out of bounds,-280
287,73,Fencer went out of bounds,-272
288,76,Fencer went out of bounds,-275
289,78,Fencer went out of bounds,-277
290,79,Fencer went out of bounds,-278
291,79,Fencer went out of bounds,-278
292,79,Fencer went out of bounds,-278
293,78,Fencer went out of bounds,-277
294,81,Fencer went out of bounds,-280
295,100,Fencer went out of bounds,-299
296,76,Fencer went out of bounds,-275
297,81,Fencer went out of bounds,-280
298,160,Fencer went out of bounds,-285
299,86,Fencer went out of bounds,-285
300,147,Fencer went out of bounds,-285
301,69,Fencer went out of bounds,-268
302,79,Fencer went out of bounds,-278
303,79,Fencer went out of bounds,-278
304,88,Fencer went out of bounds,-287
305,85,Fencer went out of bounds,-284
306,87,Fencer went out of bounds,-286
307,88,Fencer went out of bounds,-287
308,88,Fencer went out of bounds,-287
309,118,Fencer went out of bounds,-304
310,94,Fencer went out of bounds,-293
311,102,Fencer went out of bounds,-301
312,115,Fencer went out of bounds,-307
313,131,Fencer went out of bounds,-306
314,110,Fencer went out of bounds,-307
315,105,Fencer went out of bounds,-304
316,123,Fencer went out of bounds,-306
317,110,Fencer went out of bounds,-307
318,110,Fencer went out of bounds,-307
